アプリ名,提供元,ジャンル,評価,評価数,価格,公開日,最終更新,検索語,復習,苦手抽出,解説,スキマ時間,出題条件選択,習熟度可視化,学習記録,ゲーム性,連続日数,模試,ランキング,通知,付箋,オフライン,解答時間,目標設定,キャラクター,用語集
俄语专四圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-11,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
妇产科圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-02-09,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
考研数学圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2020-12-07,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
儿科学圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2020-12-02,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
计算机应用自考,"Changsha Xisai Liman Education Technology Co., Ltd",Education,0,0,0.0,2020-02-25,2024-08-28,通関士,,,,,,,,,,,,,,,,,,
自考建筑,"Changsha Xisai Liman Education Technology Co., Ltd",Education,0,0,0.0,2019-11-14,2024-08-07,通関士,,,,,,,,,,,,,,,,,,
临床药学圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-13,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
全科医学圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-02-09,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
医学统考圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2020-12-14,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
执业药师圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-02-18,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
中西医中级圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2020-12-18,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
会计师圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-02-20,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
考博英语圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2020-12-11,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
俄语专八圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-11,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
自考公共课,"Changsha Xisai Liman Education Technology Co., Ltd",Education,0,0,0.0,2019-11-17,2024-07-26,通関士,,,,,,,,,,,,,,,,,,
导游资格圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-02-23,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
俄语六级圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-11,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
眼科圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-15,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
普通话测试圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-19,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
人力资源师圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2020-12-30,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
SAT圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-17,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
房地产经纪人协理圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2020-12-18,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
监理工程师圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-02-23,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
皮肤与性病学圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-01-07,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
剑桥少儿英语考试圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-19,2023-12-26,通関士,,,,,,,,,,,,,,,,,,
自考护理专业题库,"Changsha Xisai Liman Education Technology Co., Ltd",Education,0,0,0.0,2019-11-18,2024-06-18,通関士,,,,,,,,,,,,,,,,,,
心电学圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-15,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
核医学圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-13,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
健康管理师圣题库,"Sheng Cai E-books (Wuhan) Co., Ltd.",Education,0,0,0.0,2021-05-13,2023-12-27,通関士,,,,,,,,,,,,,,,,,,
社区护理专业自考,"Changsha Xisai Liman Education Technology Co., Ltd",Education,0,0,0.0,2020-02-19,2024-08-08,通関士,,,,,,,,,,,,,,,,,,
自考会计专业,"Changsha Xisai Liman Education Technology Co., Ltd",Education,0,0,0.0,2019-11-13,2024-08-23,通関士,,,,,,,,,,,,,,,,,,
英検リスニング道場,"ACS, Inc.",Education,0,0,0.0,2026-07-16,2026-07-16,英検,,,○,,,,,,○,○,,○,,,,,,
リーディング・ラボ１級：英検®AI読解特訓,CESAR GABRIEL MIZUTANI,Education,0,0,0.0,2026-04-02,2026-07-28,英検,○,○,○,,○,○,,,,,,,,,,,,
英検®3級Pass,KANDK,Education,0,0,0.0,2026-05-23,2026-07-13,英検,,,○,○,,,,,,,,,,,,,,
サクッと英検3級英単語【サクトレ】,"DECRYPTION, CO., LTD.",Education,0,0,0.0,2026-02-08,2026-02-08,英検,○,○,,○,○,,,,,,,,,,,,,
英検®3級に出る単語・熟語を覚えられるアプリ,SHOJI DAICHI,Education,0,0,0.0,2026-06-10,2026-07-13,英検,○,○,○,○,,○,,,,,,,,,,,,
英検AIコーチ,ZIDONG LI,Education,0,0,0.0,2026-07-14,2026-07-22,英検,○,○,○,,,○,,,,,,,,,,,,
リスニング・ラボ１級：英検®リスニング道場,CESAR GABRIEL MIZUTANI,Education,0,0,0.0,2026-04-15,2026-04-15,英検,,○,○,,,,,,,○,,,,,,,,
スピーキング・ラボ１級：英検®AI面接練習,CESAR GABRIEL MIZUTANI,Education,0,0,0.0,2026-03-31,2026-06-02,英検,,○,,○,,○,,,,,,,,,,,,
E-game 英検® 出る順１〜３級,nachito fukuda,Education,0,0,0.0,2025-06-09,2025-10-01,英検,○,,,,,,,,,,,,,,,,,
AI先生　英検準１級,reiko hori,Education,0,0,0.0,2024-11-24,2024-11-24,英検,,,○,○,,,,,,,,,,,,,,
英検1級 語源で覚える英単語帳アプリ 語彙問題編,kotobaz,Education,0,0,800.0,2026-05-11,2026-05-12,単語帳/英検,○,,○,,,,,,,,,,,,,,,
Palkie Talkie,"GitAuto, Inc.",Education,0,0,0.0,2026-07-18,2026-07-29,TOEFL/英検,,,,○,,,,,○,,,,,,,,○,
Memmoread - TOEIC® Listening,Nuttawee Owat,Education,0,0,600.0,2020-03-03,2026-07-27,TOEIC,,,,,,,,,,,,,,,,,,
优考TOEIC,坚 杨,Education,0,0,0.0,2025-03-05,2026-06-03,TOEIC,,,,,,,,,,,,,,,,,,
990 TOEIC,VNMENTORS EDUCATIONAL TECHNOLOGY JOINT STOCK COMPANY,Education,0,0,0.0,2025-05-25,2026-07-28,TOEIC,,,,,,,,,,,,,,,,,,
To-An TOEIC answer sheet,"MARUN WONDERLAND, K.K.",Education,0,0,0.0,2023-09-21,2024-07-28,TOEIC,,,,,,,,,,○,,,,,○,,,
英単語帳作成アプリ-MyEnote-/TOEIC/英検/受験,Yuya Takimura,Education,0,0,0.0,2024-08-27,2025-09-23,TOEIC,,○,,,,,,,,,,,,,,,,
Test Prep for TOEIC Exam 2026,志桂 李,Education,0,0,0.0,2026-07-09,2026-07-10,TOEIC,○,○,○,,○,○,,,,○,,,,,,,,
TOEIC Test Part6 模擬試験２４０問,Microstone Inc.,Education,0,0,150.0,2014-05-23,2019-08-14,TOEIC,,,,,,,,,,,,,,,,,,
TOEIC英語 - 毎日特訓・対策アプリ,Hung Do,Education,0,0,0.0,2026-06-10,2026-07-23,TOEIC,○,○,○,,,○,,,○,○,,○,,,,,,
YBM TOEIC® Speaking 기출문제 체험하기,"YBM NET, Inc.",Education,0,0,0.0,2013-04-04,2025-12-14,TOEIC,,,,,,,,,,,,,,,,,,
TOEIC頻出単語・熟語 必修編(秒速英単語シリーズ3),Makoto Nishimoto,Education,0,0,0.0,2015-09-23,2016-02-12,TOEIC,○,,,,,,,,,,,,,,,,,
TOEIC頻出単語・熟語 入門編(秒速英単語シリーズ2),Makoto Nishimoto,Education,0,0,0.0,2015-09-23,2016-02-12,TOEIC,○,,,,,,,,,,,,,,,,,
TOEIC600点 英単語 - 毎日コツコツ,Tuong Nguyen,Education,0,0,0.0,2026-07-24,2026-07-24,TOEIC,○,,,○,,,,,,,,○,○,○,,,,
TOEIC Prep Vocabulary,JIHUN JO,Education,0,0,0.0,2025-12-18,2025-12-27,TOEIC,,,,,,,,,,,,,○,○,,,,
EZ Test - TOEIC® Writing,Nhat Xuan,Education,0,0,0.0,2022-02-11,2023-10-25,TOEIC,,,,,,,,,,,,,,,,,,
PengoLingo - TOEIC® L&R Prep,YUTO SAIZEN,Education,0,0,0.0,2026-05-14,2026-05-14,TOEIC,○,○,○,○,,,,,,○,,,,,,,,
English Podcast - IELTS TOEIC,Duc Le,Education,0,0,0.0,2019-05-03,2019-05-03,TOEIC,,,,,,,,,,,,,,,,,,
IELTS | TOEFL | TOEIC English,Allen Resources,Education,0,0,0.0,2023-09-10,2026-07-02,TOEIC,,,,,,,,,,,,,,,,,,
26 Listening For TOEIC®,ouamassi brahim,Education,0,0,0.0,2017-10-18,2025-04-05,TOEIC,,,,,,,,,,,,,,,,,,
TOEIC Test Part3 リスニング 模試３００問,Microstone Inc.,Education,0,0,300.0,2015-03-06,2023-05-22,TOEIC,,,,,,,,,,,,,,,,,,
TOEIC AI学習＆模擬テストアプリ,PT APPKEY,Education,0,0,0.0,2025-10-29,2025-12-13,TOEIC,,○,,,○,○,,,,○,,,,,,○,,
Toeic Part 5,Tran Duc Thu,Education,0,0,0.0,2026-03-18,2026-03-18,TOEIC,,,,,,,,,,,,,,,,,,
Mila - TOEIC & More,Ho Van Hien,Education,0,0,0.0,2023-10-01,2025-03-05,TOEIC,,,,,,,,,,,,,,,,,,
Toeic Everyday,duytu tran,Education,0,0,0.0,2017-12-13,2018-11-25,TOEIC,,,,,,,,,,,,,,,,,,
TOEFL® Prep & Mock Tests,ENTRAYN EDUCATION TECHNOLOGIES PRIVATE LIMITED,Education,0,0,0.0,2025-02-11,2025-12-27,TOEFL,,,,,,,,,,,,,,,,,,
TOEFL Practice | Test,志桂 李,Education,0,0,0.0,2023-12-11,2026-05-19,TOEFL,,,○,,,,,,,,,,,,,,,
25 Test For TOEFL® Practice,ouamassi brahim,Education,0,0,0.0,2017-03-07,2025-03-30,TOEFL,,,,,,,,,,,,,,,,,,
Essential Words for the TOEFL,Le Bin,Education,0,0,0.0,2019-03-28,2023-02-05,TOEFL,,,,,,,,,,,,,,,,,,
EZ Test - TOEFL® Speaking,Nhat Xuan,Education,0,0,0.0,2021-09-05,2023-10-24,TOEFL,,,,,,,,,,,,,,,,,,
TOEFL Speaking Practice & AI,Dipen Patel,Education,0,0,0.0,2026-04-12,2026-07-13,TOEFL,,,,,,,,,,,,,,,,,,
TOEFL Prep 2026 - TOEFL Focus,Ashok Manoharan,Education,0,0,0.0,2025-02-20,2026-07-24,TOEFL,,,,,,,,,,,,,,,,,,
TOEFL Superfast - 超高速単語暗記術,JUNPING LTD,Education,0,0,0.0,2022-01-07,2022-02-11,TOEFL,,,,,,,,,,,,,,,,,,
GRE/TOEFL/GMAT核心词汇,品 高,Reference,0,0,0.0,2013-05-30,2019-09-27,TOEFL,,,,,,,,,,,,,,,,,,
myTOEFL.io - Exam Preparation,UzmanDil LLC,Education,0,0,0.0,2026-04-10,2026-04-10,TOEFL,,,,,,,,,,,,,,,,,,
TOEFL IBT (UzmanTOEFL),UZMANDIL EGITIM DANISMANLIK BASIM YAYIN TICARET LIMITED SIRKETI,Education,0,0,0.0,2018-08-26,2026-07-13,TOEFL,,,,,,,,,,,,,,,,,,
"Master TOEFL, IELTS speaking",Lan Huong,Reference,0,0,150.0,2017-02-11,2026-01-11,TOEFL,,,,,,,,,,,,,,,,,,
ListenBack - 英語シャドーイング,kou works,Education,0,0,0.0,2026-05-18,2026-05-19,TOEFL,,,,,,○,,,,,,,○,,,,,
【勝木式英語講座受講生専用】TOEFLアプリ,"PRINCIPLE EDUCATION, K.K.",Education,0,0,0.0,2022-10-28,2026-02-23,TOEFL,,,,○,,,,,,,,,○,,,,,
SMTT TOEFL,Mayuresh Soni,Education,0,0,0.0,2019-12-19,2019-12-20,TOEFL,,,,,,,,,,,,,,,,,,
TOEFL Prep & Test,学勇 张,Education,0,0,0.0,2022-09-02,2022-10-24,TOEFL,,,,,,,,,,,,,,,,,,
400 Must Have Words for TOEFL,Le Bin,Education,0,0,0.0,2018-01-02,2021-02-17,TOEFL,,,,,,,,,,,,,,,,,,
BestMyTest - TOEFL Tutor,Zebra Education Inc.,Education,0,0,0.0,2023-08-04,2023-08-04,TOEFL,,,,,,,,,,,,,,,,,,
TOEFL® Speaking Practice,Kristian Heitkamp,Education,0,0,0.0,2022-05-01,2026-06-18,TOEFL,,,,,,,,,,,,,,,,,,
GregMat - GRE and TOEFL Prep,Greg Mat LLC,Education,0,0,0.0,2023-12-18,2025-05-16,TOEFL,,,,,,,,,,,,,,,,,,
EZ Test - TOEFL® Writing,Nhat Xuan,Education,0,0,0.0,2021-09-05,2023-10-24,TOEFL,,,,,,,,,,,,,,,,,,
スペース英単語,"Fupac Co.,Ltd.",Education,0,0,0.0,2026-07-29,2026-07-29,英単語,,○,,,,,,○,,,,,,,,,,
Dougaku 動画で英語のリスニング学習/英会話/英単語,"ness, Inc.",Education,0,0,0.0,2026-07-23,2026-07-27,英単語,,,,○,,○,,,,,,,,,,,,
サクッと漢検5級漢字ドリル【サクトレ】,"DECRYPTION, CO., LTD.",Education,0,0,0.0,2026-01-06,2026-01-07,漢検,○,○,,○,○,,,,,,,,,,,,,
サクッと漢検9級漢字ドリル【サクトレ】,"DECRYPTION, CO., LTD.",Education,0,0,0.0,2025-12-31,2026-01-02,漢検,○,○,,○,,,○,○,,,,,,,,,,
漢字よみ道場,Shun Sato,Education,0,0,0.0,2026-07-12,2026-07-13,漢検,○,○,,○,,,,○,○,,,,,,,,,
漢字検索 漢字マスター：書き順から読みまで,Takumi Sato,Education,0,0,0.0,2023-09-29,2025-09-16,漢検,,,,,,,,,,,,,,,,,,○
漢検マスター,kouji kawai,Education,0,0,0.0,2026-02-23,2026-02-23,漢検,○,○,,,,,○,,,,,,,,,,,
熟語検索辞典　【漢字辞典・国語辞典】,takeshi inoue,Reference,0,0,0.0,2021-03-30,2025-12-12,漢検,,,,,,,,,,,,,,,,,,○
漢検２級対策,yuya mukasa,Education,0,0,0.0,2023-06-26,2023-06-26,漢字検定/漢検,,,,,,,,,,,,,,,,,,
ビジネス漢字 - 読み方クイズ500問,"BYNET CO., LTD.",Education,0,0,0.0,2026-06-09,2026-07-11,漢検,○,○,○,○,,,,,○,,,,,,,○,,
ことわざ500選-語源・由来・用語解説付きクイズ,RYOTA SUZUKI,Education,0,0,0.0,2025-04-21,2026-07-26,漢字検定/漢検,○,○,,,,○,,,,,,,,,,,,
でる順 漢検1級 四字熟語｜過去問分析で効率対策,kotobaz,Education,0,0,800.0,2026-06-08,2026-06-08,漢検,○,,,,○,,,,,,,,,,,,,
小学生漢字の読み方が学べる漢字ゲーム｜かんじのしま,Shojiro Yanagisawa,Education,0,0,0.0,2026-07-09,2026-07-10,漢検,,○,,,,,,,,,,,,,,,,
薬膳・漢方検定 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-06-09,2026-06-09,漢検,○,○,○,○,○,,,,,○,,,,,,,,
サクッと四字熟語・漢字ドリル 1問1答【サクトレ】,"DECRYPTION, CO., LTD.",Education,0,0,0.0,2026-01-12,2026-01-12,漢検,,○,○,○,,,,,,,,,,,,,,
サクッとことわざ・慣用句1問1答【サクトレ】,"DECRYPTION, CO., LTD.",Education,0,0,0.0,2026-01-13,2026-01-13,漢検,○,○,○,○,,,,,,,,,,,,,,
漢検5級 一問一答クイズ,Hajime App Lab,Education,0,0,0.0,2026-06-18,2026-07-27,漢字検定,○,○,○,○,○,○,○,,○,,,○,○,,,,,
漢検パーフェクト,MASAYOSHI TSUJI,Education,0,0,0.0,2026-04-03,2026-04-22,漢字検定,○,○,,,,○,,,○,,,,,,,,,
日本漢字能力検定 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-04-21,2026-07-04,漢字検定,○,○,○,,○,○,,,,○,,,,,,,,
小学生漢字 -1年生編- / 無料で小学校の漢字を勉強,Makoto Nishimoto,Education,0,0,0.0,2016-06-21,2016-06-21,漢字検定,,,,,,,,,,,,,,,,,,
小学１年生漢字マスター：最短で学習スピードラーニング,reiko hori,Education,0,0,0.0,2025-01-13,2025-01-13,漢字検定,○,○,,,○,,,,,,,,,,,,,
小学２年生漢字マスター：最短で学習スピードラーニング,reiko hori,Education,0,0,0.0,2025-01-13,2025-01-13,漢字検定,○,○,,,○,,,,,,,,,,,,,
漢検３級腕試し,yuya mukasa,Education,0,0,0.0,2022-06-27,2022-10-15,漢字検定,,,,,,,,,,,,,,,,,,
小学３年生漢字マスター：最短で学習スピードラーニング,reiko hori,Education,0,0,0.0,2025-01-08,2025-01-08,漢字検定,○,○,,,○,,,,,,,,,,,,,
中国語検定3級単語帳,Hiroyuki Watanabe,Education,0,0,0.0,2026-06-12,2026-07-10,単語帳/漢字検定,○,,,,,,,,,,,,,,○,,,
小学４年生漢字マスター：最短で学習スピードラーニング,reiko hori,Education,0,0,0.0,2025-01-16,2026-02-06,漢字検定,○,○,,,○,,,,,,,,,,,,,
サクッと漢検7級漢字ドリル【サクトレ】,"DECRYPTION, CO., LTD.",Education,0,0,0.0,2026-01-02,2026-01-03,漢字検定,○,○,,○,○,,,○,,,,,,○,,,,
サクサク漢字：中国語の語彙力UP,Zekai Weng,Education,0,0,0.0,2026-02-16,2026-06-28,漢字検定,○,,,,,,,○,,,,,,,,,,
ねこの四字熟語 猫写真 猫図鑑,TATSUYA KAWAGUCHI,Education,0,0,0.0,2022-10-30,2022-10-30,漢字検定,,○,,○,,,,,,,,,,,,,,
Baolingo：中国語・HSK学習,PARROTO COMPANY LIMITED,Education,0,0,0.0,2026-05-11,2026-07-28,漢字検定,○,○,,○,,,,,,,,,,○,,,,
漢字検定2級対策,satoshi yoshida,Education,0,0,800.0,2026-06-04,2026-06-05,漢字検定,,,,,○,,,,,○,,,,,,,,
TOPIK コーチ: 聞き取り・読解練習,"Keecon Co., Ltd.",Education,0,0,0.0,2026-04-22,2026-07-13,漢字検定,○,○,○,○,,,,,,○,,,,,,,,
初心者からHSKまで中国語単語・漢字・ピンインを学ぶ,Utku Uysal,Education,0,0,0.0,2020-06-27,2026-06-28,漢字検定,○,○,,,,,,,○,,,,,,,,,
サクッと漢検6級漢字ドリル【サクトレ】,"DECRYPTION, CO., LTD.",Education,0,0,0.0,2026-01-02,2026-01-03,漢字検定,○,○,,○,○,,,,,,,,,,,,,
でる順 漢検準1級 四字熟語｜過去問分析で効率対策,kotobaz,Education,0,0,800.0,2026-06-08,2026-06-08,漢字検定,○,,,,○,,,,,,,,,,,,,
世界遺産検定,Romiick LLC,Education,0,0,0.0,2026-05-28,2026-07-25,数検,○,○,○,○,,,○,,○,,,,○,,,,,
掌上考研-找考研真题查招录数据,"ZhiwangBeijing Information Technology Co., Ltd",Education,0,0,0.0,2019-08-30,2026-06-18,数検,,,,,,,,,,,,,,,,,,
ビジネス数学Pass 検定2級3級対策,KANDK,Education,0,0,0.0,2026-07-07,2026-07-08,数検,,○,○,○,○,○,○,○,○,,,,,,,,,
数学検定2級対策,satoshi yoshida,Education,0,0,800.0,2026-06-03,2026-06-03,数検,○,○,○,○,○,,,,,,,,○,○,,,,
雷哥GMAT-GMAT单词数学逻辑在线题库,"Shanghai Xiaoshen Education Technology Group Co., Ltd",Education,0,0,0.0,2016-01-07,2026-01-13,数検,,,,,,,,,,,,,,,,,,
快乐萌宝学数学-完整早教学习课程,永锋 潘,Education,0,0,0.0,2016-12-23,2016-12-23,数検,,,,,,,,,,,,,,,,,,
新しい「日本語能力試験」N2文法問題集,Shih Shih Fong,Education,0,0,2000.0,2012-03-30,2026-05-04,日本語能力試験,,,,,,,,,,,,,,,,,,
新しい「日本語能力試験」N3 文法,Shih Shih Fong,Book,0,0,0.0,2012-06-20,2026-06-16,日本語能力試験,,,,,,,,,,,,,,,○,,,
日本語コミュニケーション能力認定試験 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-07-09,2026-07-09,日本語能力試験,○,○,○,○,○,○,,,,○,,,,,,,,
日本語教育能力検定Pass,KANDK,Education,0,0,0.0,2026-07-08,2026-07-23,日本語能力試験,○,○,○,○,○,○,,,,,,,,,,,,
新しい「日本語能力試験」N4文法のまとめ,Shih Shih Fong,Book,0,0,2000.0,2012-07-29,2026-06-27,日本語能力試験,,,,,,,,,,,,,,,○,,,
ビジネス能力検定ジョブパス3級 試験対策・問題集,RYOHEI HORIUCHI,Education,0,0,0.0,2026-07-07,2026-07-07,日本語能力試験,○,○,○,○,,○,,,,○,,,,,,,,
新しい「日本語能力試験」Ｎ５文法問題集,Shih Shih Fong,Education,0,0,1500.0,2012-02-01,2026-05-07,日本語能力試験,,,,,,,,,,,,,,,,,,
JLPT Test N5 Kanji Lite,hiromu izuwa,Education,0,0,0.0,2015-03-10,2026-06-03,日本語能力試験,,,,,,,,,,,,,,,,,,
新しい日本語検定試験N2文法のまとめ,Shih Shih Fong,Book,0,0,0.0,2012-05-31,2026-06-22,日本語能力試験,,,,,,,,,,,,,,,○,,,
日本語教員試験,Kazumasa Shimomura,Education,0,0,0.0,2026-07-21,2026-07-22,教員採用試験/日本語能力試験,○,○,,,,,,,,○,,,○,,,,,
ニュース時事能力検定試験 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-04-28,2026-05-11,日本語能力試験,○,○,○,○,,,,,,○,,,,,,,,
Japex - Japanese Exam,Hien Vinh Nguyen,Education,0,0,0.0,2019-02-11,2019-02-11,日本語能力試験,,,,,,,,,,,,,,,,,,
Webクリエイター能力認定試験 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-04-29,2026-05-11,日本語能力試験,○,○,○,○,,○,,,,○,,,,,,,,
N2 文字語彙問題集,Shih Shih Fong,Book,0,0,0.0,2012-09-12,2026-05-23,日本語能力試験,,,,,,,,,,,,,,,,,,
給与計算実務能力検定試験 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-05-19,2026-05-19,日本語能力試験,○,○,○,○,,○,,,,○,,,,,,,,
文法マスター JLPT Bunpō Master,Alexis camue,Education,0,0,0.0,2026-03-31,2026-04-01,日本語能力試験,,,,○,,,,,,,,,,,,,,
安全保障輸出管理 STC Associate,Masaki Kobayashi,Education,0,0,400.0,2026-07-20,2026-07-20,日本語能力試験,○,○,○,,○,,,,,,,,○,○,,,,
日本語能力試験 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-04-21,2026-05-12,日本語能力試験,○,○,○,,,,,,,○,,,,,,,,
N1 文字語彙,Shih Shih Fong,Book,0,0,2000.0,2012-08-13,2026-06-22,日本語能力試験,,,,,,,,,,,,,,,,,,
日本語語彙事典,忆倩 刘,Education,0,0,0.0,2024-01-23,2024-02-12,日本語能力試験,,,,,,,,,,,,,,,,,,○
JLPT N1 문법,"INPERIA CO., LTD.",Education,0,0,980.0,2013-03-29,2024-06-26,日本語能力試験,,,○,,,,,,,,,,○,,,,,
ジョブパスPass - 2級・3級試験対策,KANDK,Education,0,0,0.0,2026-07-13,2026-07-13,日本語能力試験,○,○,○,○,○,,,,○,,,,,,,,,
HSK Chinese Level 1 2 3 4 5 6,oratai rungratikunthorn,Education,0,0,0.0,2018-01-12,2018-08-27,日本語能力試験,,,,,,,,,,,,,,,,,,
歴史能力検定 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-05-27,2026-05-28,日本語能力試験,○,○,○,○,○,○,,,,○,,,,,,,,
Remi: JLPT N5-N1単語帳 日本語能力試験,Yingwen Wang,Education,0,0,0.0,2026-02-06,2026-05-01,単語帳/日本語能力試験,○,○,,○,,○,,,○,,,,,○,,,,
N1-文法のまとめ,Shih Shih Fong,Book,0,0,2000.0,2012-05-25,2026-06-24,日本語能力試験,,,,,,,,,,,,,,,○,,,
韓国語能力試験TOPIK 6級 最頻出単語5000,"Knecht, Inc.",Education,0,0,0.0,2026-07-02,2026-07-09,日本語能力試験,○,○,○,,,,,,,,,,,,,,,
韓国語能力試験TOPIK 5級 最頻出単語3000,"Knecht, Inc.",Education,0,0,0.0,2026-07-04,2026-07-09,日本語能力試験,○,○,,,,,,,,,,,,,,,,
健康管理能力検定 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-05-28,2026-05-28,日本語能力試験,○,○,○,○,○,○,,,,○,,,,,,,,
ファッション販売能力検定 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-06-09,2026-06-09,日本語能力試験,○,○,○,○,○,○,,,,○,,,,,,,,
ファッションビジネス能力検定 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-07-11,2026-07-11,日本語能力試験,○,○,○,○,○,○,,,,○,,,,,,,,
JLPT Test N5 N4 N3 N2 N1 Prep,HOKOHOKO TECHNOLOGY INC,Education,0,0,0.0,2022-06-02,2022-09-28,日本語能力試験,,,,,,,,,,,,,,,,,,
ビジネス能力検定ジョブパス 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-05-27,2026-05-27,日本語能力試験,○,○,○,○,○,○,,,,○,,,,,,,,
JLPT N1,文芝 王,Education,0,0,600.0,2018-08-13,2024-07-01,日本語能力試験,,,,,,,,,,,,,,,,,,
公務員試験 数的推理 500問,satoshi yoshida,Education,0,0,680.0,2026-07-09,2026-07-12,公務員試験/日本語能力試験,○,○,○,○,○,,,,,○,,,○,○,,,,
秘書検定2級 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-04-09,2026-05-11,秘書検定,○,○,○,○,,○,,,,○,,,,,,,,
秘書検定2級 一問一答,"LIBERE CO., LTD.",Education,0,0,0.0,2026-07-09,2026-07-09,秘書検定,○,○,,○,○,,,,,,,,,,,,,
秘書検定 3級  試験対策-秘書技能検定 3級,ARKTECH LLC (Japan),Education,0,0,0.0,2025-12-22,2025-12-22,秘書検定,○,○,○,○,,○,,,,○,,,,○,,,,
秘書検定 1級  試験対策-秘書技能検定 1級,ARKTECH LLC (Japan),Education,0,0,0.0,2025-12-22,2025-12-22,秘書検定,○,○,○,○,,○,,,,○,,,,○,,,,
秘書検定1級 一問一答クイズ,Hajime App Lab,Education,0,0,0.0,2026-06-14,2026-07-27,秘書検定,○,○,○,,○,○,○,,○,,,○,○,,,,,
秘書技能検定 準2級 合格ドリル,Tsuyoshi Sezaki,Education,0,0,0.0,2026-07-29,2026-07-29,秘書検定,○,○,○,○,○,○,,,,○,,,,,,,,
